,0
2174,"287700,406540,406560,406580,406590,406600,406610,406620,436030,436040,436050,437230,437231"
2175,315460
2176,1154040
2177,1487390
2178,601670
2179,1574270
2180,433090
2181,1918450
2182,1786200
2183,1681170
2184,278890
2185,1267540
2186,1292040
2187,1188790
2188,1781510
2189,971630
2190,466300
2191,1901420
2192,32360
2193,17410
2194,737780
2195,1235753
2196,1670120
2197,311290
2198,813630
2199,1751920
2200,889600
2201,1777620
2202,1461600
2203,1430990
2204,1705820
2205,1149440
2206,1186400
2207,1244781
2208,1133590
2209,1582680
2210,920571
2211,690040
2212,1819320
2213,878460
2214,994280
2215,794600
2216,1984600
2217,1104660
2218,1075740
2219,1926230
2220,1111370
2221,1018830
2222,1718870
2223,672630
2224,604540
2225,656350
2226,1206340
2227,939840
2228,1619010
2229,620590
2230,388090
2231,1770580
2232,750381
2233,1235758
2234,1031120
2235,495050
2236,1004490
2237,1286280
2238,1150950
2239,1574601
2240,521890
2241,616560
2242,1740000
2243,1438980
2244,909080
2245,1108590
2246,1587540
2247,285920
2248,965680
2249,1715130
2250,1489970
2251,405900
2252,1618230
2253,1203420
2254,1792250
2255,7670
2256,1852235
2257,1848180
2258,1668110
2259,887570
2260,857980
2261,1163770
2262,288470
2263,1323470
2264,585420
2265,1227350
2266,673610
2267,872280
2268,1502380
2269,1184050
2270,1975360
2271,1162600
2272,1280780
2273,838350
2274,1671350
2275,273380
2276,1914490
2277,402620
2278,894940
2279,35720
2280,357190
2281,829110
2282,1182110
2283,212070
2284,584096
2285,435120
2286,665300
2287,973810
2288,415200
